Brand,grade,reviews,fragrance family,fragrance name,fragrance classification,volume,top notes,heart notes,base notes,gender,product form,year of launch,strength,sustainable,country of origin,ingredients
Yves Saint Laurent,4.8,163,"Musk, Amber",Yvresse,Yves Saint Laurent,"Available in 3 ml, 30 ml, 50 ml, 60 ml, 80 ml, 100 ml, 125 ml and 195 ml","Anise (Aniseed), Mint, Nectarine","Rose (blue), Rose (Bulgarian), Violet, Lychee","Patchouli, Vetiver, Oakmoss",Women,,1993,,,,
Wildfox,4.9,9,Jasmine,Wildfox,Wildfox,"Available in 8 ml, 15 ml, 50 ml and 100 ml",,,,Women,,2015,,,,
Vince Camuto,4.0,4,,Vince Camuto Virtu,Vince Camuto,Available in 100 ml,,,,Men,,2018,,,,
Philosophy,4.0,6,,Unconditional Love,Philosophy,"Available in 4 ml, 60 ml and 120 ml",,,,Women,,2009,,,,
Hermes,,,,Twilly D'hermes Eau Ginger,Hermes,Available in 50 ml and 83 ml,,,,Men and Women,,,,,,
Tous,5.0,3,Jasmine,Tous Your Moments,Tous,Available in 50 ml and 90 ml,,,,Women,,2018,,,,
Tous,4.7,3,Bergamot,Tous Floral Touch,Tous,Available in 1 ml and 100 ml,,,,Women,,2015,,,,
St Dupont,4.9,17,"Musk, Amber",St Dupont,St Dupont,"Available in 2 ml, 5 ml, 30 ml, 50 ml, 100 ml and 195 ml","Lemon, Blackcurrant buds (Cassis), Melon, Passionfruit","Cyclamen, Jasmine, Lily of the Valley (Muguet), Magnolia, Rose, Ylang-ylang","Palissander wood, Patchouli, Oakmoss, Amber, Musk",Women,,1998,,,,
Etat Libre D'orange,4.8,4,,She Was An Anomaly,Etat Libre D'orange,Available in 100 ml,,,,Men and Women,,2019,,,,
Estee Lauder,4.5,41,,Sensuous Nude,Estee Lauder,"Available in 4 ml, 50 ml and 100 ml","Bergamot, Mandarin, Rose (Baie), Pepper (black)","Coconut (water), Jasmine, Lily of the Valley (Muguet), Musk, Honey","Sandalwood, Woody notes, Musk, Heliotrope, Vanilla",Women,,2012,,,,
Cartier,4.7,117,Bergamot,Santos De Cartier,Cartier,"Available in 15 ml, 30 ml, 50 ml, 100 ml and 200 ml","Bergamot, Lavandin, Verbena, Basil","Geranium, Chilli pepper, Nutmeg","Patchouli, Sandalwood, Amber",Men,,1981,,,,
Davidoff,1.0,1,Jasmine,Run Wild,Davidoff,Available in 50 ml and 100 ml,,,,Women,,2019,,,,
Boucheron,3.3,3,fresh,Quatre Absolu De Nuit,Boucheron,Available in 100 ml,,,,Women,,2017,,,,
