Brand,grade,reviews,fragrance family,fragrance name,fragrance classification,volume,top notes,heart notes,base notes,gender,product form,year of launch,strength,sustainable,country of origin,ingredients
Dolce & Gabbana,4.7,1778,Citrus,Light Blue,Dolce & Gabbana,"Available in 24ml, 50ml, 100ml & 200ml","Sicilian Lemon, Apple, Cedar, Bellflower","Bamboo, Jasmine, White Rose","Cedar, Musk, Amber",Women,Liquid,2001,Strong,Regular,,"Alcohol, Fragrance, Water, Limonene, Ethylhexyl Methoxycinnamate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Citral, Cinnamal, Linalool, Bht."
Versace,4.7,1083,"Floral, Fruity and Musk",Bright Crystal,Versace,"Available in 30ml, 50ml, 90ml and 200ml","Yuzu, Pomegranate, Water Notes","Peony, Lotus, Magnolia","Musk, Mahogany, Amber",Women,Liquid,2006,Medium,,Italy,"Alcohol, Denat. (Sd Alcohol 39-C), Fragrance, Water, Butylphenyl, Methylpropional, Ethylhexyl Methoxycinnamate, Hydroxysohexyl 3-Cyclohexene Carboxaldehyde, Linalool, Citronellol, Ethylhexyl Salicylate, Butyl, Methoxydibenzoylmethane, Limonene, Geraniol, Ci 17200 (Red 33), Ci 15985 (Yellow 6)."
Versace,4.7,891,"Woody, Oriental and Fresh notes",Eros,Versace,"Available in 5ml, 30ml, 50ml, 100ml & 200ml","Mint, Candy Apple, Lemon, Mandarin Orange","Ambroxan, Geranium, Clary sage","Vanilla, Cedar, Sandalwood, Leather, Bitter Orange, Patchouli",Men,Liquid,2020,Medium,Regular,Italy,"Alcohol Denat. (Sd Alcohol 39-C), Parfum (Fragrance), Aqua (Water), Limonene, Linalool, Coumarin, Alpha-Isometyl Ionone, Citral, Citronellol, Geraniol, Cinnamal, Eugenol."
Calvin Klein,4.7,1164,Floral,Eternity,Calvin Klein,"Available in 30ml, 50ml & 100ml","Green Notes, Freesia, Sage, Citruses, Mandarin Orange","Carnation, Lily, Lily of the valley, Narcissus, Marigold, Violet, Rose, Jasmine","Heliotrope, Musk, Sandalwood, Amber, Patchouli",Women,Liquid,1988,Strong,Regular,Spain,
Davidoff,4.6,1519,Aromatic,Cool Water,Davidoff,"Available in 40ml, 75ml, 125ml & 200ml","Sea Water, Lavender, Mint, Green Notes, Rosemary, Calone, Coriander","Sandalwood, Neroli, Geranium, Jasmine","Musk, Tobacco, Oakmoss, Cedar, Amber",Men,Liquid,1988,Medium,Regular,France,"Alcohol Denat., Aqua/Water/Eau, Parfum/Fragrance, Linalool, Citrus Nobilis (Mandarin Orange) Peel Oil, Limonene, Benzyl Salicylate, Coumarin, Ethylhexyl Methoxycinnamate, Geraniol, Citronellol, Benzophenone-3, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Citral, Cinnamal, Eugenol, Bht."
Calvin Klein,4.6,918,Floral,Eternity Cologne,Calvin Klein,"Available in 30ml, 50ml, 100ml & 200ml","Lavender, Lemon, Bergamot, Mandarin Orange","Juniper Berries, Sage, Coriander, Geranium, Basil, Jasmine, Orange Blossom, Lily, lily of the valley","Sandalwood, Vetiver, Musk, Brazilian Rosewood, Amber",Men,Liquid,1990,Strong,,Spain,
Calvin Klein,4.7,890,Citrus,Obsession,Calvin Klein,"Available in 1 ml, 8 ml, 10 ml, 15 ml, 20 ml, 30 ml, 50 ml, 53 ml, 75 ml, 77 ml, 100 ml, 120 ml, 150 ml, 157 ml, 160 ml, 200 ml and 207 ml","Bergamot, Mandarin","Lavender, Clove, Myrrh, Nutmeg, Coriander, Sage","Patchouli, Sandalwood, Vetiver, Amber",Men,,1986,,,,
Calvin Klein,4.7,957,Bergamot,Obsession,Calvin Klein,"Available in 1 ml, 2 ml, 4 ml, 7 ml, 8 ml, 10 ml, 15 ml, 30 ml, 50 ml, 75 ml, 90 ml, 100 ml, 150 ml and 200 ml","Bergamot, Mandarin, Green notes, Vanillin","Jasmine, Orange blossom, Sandalwood, Vetiver, Coriander","Oakmoss, Amber, Musk, Incense",Women,,1985,,,,
Calvin Klein,4.6,642,Citrus,Ck One,Calvin Klein,"Available in 1 ml, 2 ml, 8 ml, 10 ml, 15 ml, 20 ml, 50 ml, 77 ml, 100 ml, 125 ml, 154 ml, 195 ml, 251 ml and 266 ml","Bergamot, Cardamom, Tea (Green), Papaya, Pineapple","Rose, Violet, Nutmeg, Tea (Green), Hedione high cis","Amber, Musks, Tea (Green)",Men,,1994,,,,
Giorgio Armani,4.7,1183,Cedar,Acqua Di Gio,Giorgio Armani,"Available in 1 ml, 3 ml, 5 ml, 8 ml, 30 ml, 50 ml, 75 ml, 77 ml, 100 ml, 104 ml, 125 ml, 150 ml and 200 ml","Bergamot, Mandarin, Calone, Neroli","Jasmine, Nasturtium, Rosemary, Hedione high cis","Cedarwood, Patchouli, Cistus labdanum (Rockrose), Musks (white)",Men,,1995,,,,
Calvin Klein,4.7,1467,fall,Euphoria,Calvin Klein,"Available in 1 ml, 4 ml, 8 ml, 15 ml, 30 ml, 50 ml, 90 ml, 100 ml, 120 ml, 163 ml and 200 ml","Lush green accord, Persimmon, Pomegranate","Champaca, Lotus flower, Orchid (black)","Violet (black), Mahogany, Amber (liquid), Creamy accord",Women,,2005,,,,
Guy Laroche,4.6,802,Citrus,Drakkar Noir,Guy Laroche,"Available in 1 ml, 5 ml, 8 ml, 15 ml, 30 ml, 44 ml, 50 ml, 75 ml, 77 ml, 100 ml, 154 ml, 177 ml and 200 ml","Lemon peel, Verbena","Lavender, Coriander, Fir balsam, Juniperberry","Patchouli, Sandalwood, Balsam",Men,,1982,,,,
Elizabeth Arden,4.7,809,fall,Red Door,Elizabeth Arden,"Available in 1 ml, 5 ml, 7 ml, 8 ml, 10 ml, 15 ml, 25 ml, 30 ml, 44 ml, 50 ml, 77 ml, 100 ml, 150 ml, 157 ml and 200 ml","Rose (JFK), Ylang-ylang, Fruity accord","Carnation, Freesia, Jasmine, Lily, Lily of the Valley (Muguet), Orange blossom, Orchid (Oriental), Violet","Sandalwood, Vetiver, Oakmoss, Musk, Honey",Women,,1989,,,,
Elizabeth Taylor,4.7,990,Floral,White Diamonds,Elizabeth Taylor,"Available in 1 ml, 4 ml, 7 ml, 8 ml, 10 ml, 15 ml, 26 ml, 30 ml, 50 ml, 77 ml, 90 ml, 100 ml, 104 ml, 157 ml, 200 ml and 248 ml","Lily (Amazon), Neroli, Aldehydes","Iris (Orris), Jasmine, Narcissus, Rose, Tuberose","Patchouli, Sandalwood, Oakmoss, Amber",Women,,1991,,,,
Jimmy Choo,4.5,687,Floral and fruity,Jimmy Choo,Jimmy Choo,Available in 60ml and 100ml,"Pear, Mandarin Orange, Green Notes",Orchid,"Toffee, Patchouli",Women,Liquid,2011,Medium,Regular,France,Alcohol Denat. (Sd Alcohol 39-C) · Parfum (Fragrance) · Aqua (Water) · Benzyl Salicylate · Butyl Methoxydibenzoylmethane · Ethylhexyl
Citrus,4.5,975,Citrus,Club De Nuit Intense,Citrus,Available in 200ml,"Lemon, Pineapple, Black Currant, Bergamot, Apple","Birch, Jasmine, Rose","Musk, Ambergris, Patchouli, Vanilla",Men,Liquid,2015,,,France,
Versace,4.6,756,Cedar,Versace Man,Versace,"Available in 1 ml, 2 ml, 5 ml, 8 ml, 9 ml, 30 ml, 50 ml, 75 ml, 100 ml and 200 ml","Bergamot, Neroli, Pepper (black), Angelica flower","Cardamom, Saffron","Kashmir wood note, Tobacco leaves, Amber, Cistus labdanum (Rockrose)",Men,,2003,,,,
Dolce & Gabbana,4.5,907,Oriental,The One Cologne,Dolce & Gabbana,"Available in 30ml, 50ml, 100ml & 151ml","Grapefruit, Coriander and Basil","Ginger, Cardamom, Orange Blossom","Amber, Tobacco, Cedar",Men,Liquid,2015,Medium,Regular,France,"Alcohol Denat., Parfum/Fragrance, Water/Aqua/Eau, Benzyl Benzoate, Benzyl Salicylate, Butylphenyl Methylpropional, Citronellol, Coumarin, Geraniol, Hydroxycitronellal, Limonene, Linalool, Butyl Methoxydibenzoylmethane, Ethylhexyl Methoxycinnamate, and Ethylhexyl Salicylate."
Ariana Grande,4.5,226,Bergamot,Ariana Grande Cloud,Ariana Grande,"Available in 8 ml, 100 ml and 240 ml",,,,Women,,2018,,,,
Joop!,4.6,1048,Citrus,Joop,Joop!,"Available in 1 ml, 5 ml, 8 ml, 30 ml, 50 ml, 75 ml, 100 ml, 120 ml, 125 ml, 157 ml and 200 ml","Bergamot, Jasmine, Orange blossom, Cinnamon","Jasmine, Sandalwood, Vetiver, Tobacco, Honeysuckle, Honey","Patchouli, Sandalwood, Vetiver, Amber, Musk, Tonka bean, Vanilla",Men,,1989,,,,
Juicy Couture,4.6,645,,Viva La Juicy,Juicy Couture,"Available in 1 ml, 5 ml, 8 ml, 10 ml, 15 ml, 30 ml, 50 ml, 75 ml, 100 ml, 125 ml, 200 ml and 254 ml","Mandarin, Peach nectar, Berries (wild)","Gardenia, Jasmine, Orchid (Coconut)","Wood (creamy), Amber, Vanilla, Caramel",Women,,2008,,,,
Dolce & Gabbana,4.6,540,Bergamot,Light Blue,Dolce & Gabbana,"Available in 2 ml, 4 ml, 8 ml, 38 ml, 50 ml, 71 ml, 75 ml, 104 ml, 125 ml, 150 ml and 200 ml","Bergamot, Grapefruit, Mandarin, Juniperberry","Pepper (Sichuan), Rosewood, Rosemary","Muskwood (American), Oakmoss, Incense",Men,,2007,,,,
Davidoff,4.6,895,Citrus,Cool Water,Davidoff,"Available in 1 ml, 5 ml, 8 ml, 15 ml, 30 ml, 50 ml, 75 ml, 100 ml, 150 ml and 200 ml","Citrus accord, Lotus flower, Waterlily, Blackcurrant buds (Cassis), Honeydew melon, Pineapple, Quince","Jasmine, Lily of the Valley (Muguet), Rose (May Rose or Rose de Mai)","Iris (Orris), Mulberry, Orchid, Sandalwood",Women,,1996,,,,
Christian Dior,4.4,450,Bergamot,Sauvage,Christian Dior,"Available in 1 ml, 8 ml, 60 ml, 77 ml, 100 ml, 150 ml and 200 ml",,,,Men,,2015,,,,
Nautica,4.6,572,,Nautica Voyage,Nautica,"Available in 1 ml, 8 ml, 20 ml, 50 ml, 77 ml, 100 ml, 150 ml, 177 ml and 200 ml","Leaves (green), Sailcloth accord, Apple","Lotus (water), Mimosa","Cedarwood, Woody amber accord, Oakmoss, Musk",Men,,2006,,,,
Azzaro,4.6,904,Citrus,Chrome,Azzaro,"Available in 1 ml, 7 ml, 8 ml, 30 ml, 50 ml, 75 ml, 80 ml, 100 ml, 150 ml and 200 ml","Bergamot, Tea (Green)","Spicy citrus accord, Aquatic accord, Ginger","Sandalwood, Woods (precious), Musk (transparent)",Men,,1996,,,,
Mont Blanc,4.5,569,,Montblanc Legend,Mont Blanc,"Available in 1 ml, 4 ml, 8 ml, 30 ml, 50 ml, 75 ml, 100 ml, 150 ml, 151 ml, 200 ml and 299 ml",,,,Men,,,,,,
Versace,4.6,423,,Versace Pour Homme Dylan Blue,Versace,"Available in 1 ml, 5 ml, 8 ml, 9 ml, 30 ml, 50 ml, 75 ml, 100 ml, 200 ml and 248 ml",,,,Men,,,,,,
Clinique,4.7,493,Citrus,Happy,Clinique,"Available in 1 ml, 4 ml, 6 ml, 8 ml, 10 ml, 15 ml, 30 ml, 50 ml, 100 ml and 200 ml","Bergamot, Grapefruit (ruby red), Laurel, Mandarin blossom","Boysenberry flower, Jasmine (Indonesian), Orchid (Morning Dew)","Crinum lily (white), Hawaiian wedding flower, Magnolia, Mimosa, Transparent wood note",Women,,1997,,,,
Oscar de la Renta,4.7,761,Bergamot,Oscar,Oscar de la Renta,"Available in 2 ml, 4 ml, 7 ml, 8 ml, 24 ml, 30 ml, 50 ml, 60 ml, 75 ml, 100 ml, 104 ml, 120 ml, 157 ml, 163 ml, 195 ml, 200 ml, 240 ml and 266 ml","Orange blossom, Basil, Cascarilla, Coriander","Jasmine, Rose (May Rose or Rose de Mai), Tuberose, Ylang-ylang, Vetiver, Broom","Clove, Myrrh, Patchouli, Sandalwood, Vetiver, Opopanax, Vanilla",Women,,1977,,,,
Aquolina,4.6,1078,Sweet,Pink Sugar,Aquolina,"Available in 30ml, 50ml & 100ml","Raspberry, Orange, Bergamot, Fig Leaf","Cotton Candy, Licorice, Red Berries, Strawberry, Lily of the valley","Caramel, Vanilla, Musk, Tonka Bean, Sandalwood",Women,Liquid,2004,,,,
Burberry,4.6,442,Citrus,Burberry London (new),Burberry,"Available in 2 ml, 4 ml, 8 ml, 30 ml, 50 ml, 100 ml, 150 ml, 195 ml and 200 ml","Rose, Clementine, Honeysuckle","Jasmine, Peony, Tiaré flower","Patchouli, Sandalwood, Musk (transparent)",Women,,2006,,,,
Lancome,4.8,491,Jasmine,La Vie Est Belle,Lancome,"Available in 2 ml, 8 ml, 30 ml, 50 ml, 75 ml, 100 ml and 200 ml",,,,Women,,2012,,,,
Issey Miyake,4.7,739,Citrus,L'eau D'issey (issey Miyake),Issey Miyake,"Available in 1 ml, 7 ml, 8 ml, 10 ml, 15 ml, 30 ml, 41 ml, 50 ml, 75 ml, 100 ml, 125 ml, 150 ml and 200 ml","Mandarin, Yuzu, Verbena, Cypress, Coriander, Sage","Geranium, Waterlily (blue), Cinnamon, Nutmeg, Saffron","Sandalwood, Vetiver, Amber, Musk, Tobacco",Men,,1994,,,,
Marc Jacobs,4.7,435,Citrus,Daisy,Marc Jacobs,"Available in 1 ml, 3 ml, 4 ml, 7 ml, 8 ml, 50 ml, 75 ml, 100 ml, 150 ml and 200 ml","Grapefruit (ruby red), Violet leaves, Strawberry (wild)","Gardenia, Jasmine, Violet","Wood (white), Musk, Vanilla",Women,,2007,,,,
Burberry,4.6,363,Citrus,Burberry Touch,Burberry,"Available in 2 ml, 5 ml, 8 ml, 30 ml, 50 ml, 75 ml, 100 ml, 195 ml and 200 ml","Mandarin leaves, Violet leaves, Artemisia (Armoise)","Nutmeg, Pepper (white), Cedarwood (Virginia)","Vetiver, Musk (Skin accord), Tonka bean",Men,,2000,,,,
Mont Blanc,4.6,327,Bergamot,Montblanc Explorer,Mont Blanc,"Available in 2 ml, 4 ml, 7 ml, 8 ml, 30 ml, 60 ml, 75 ml, 100 ml and 150 ml",,,,Men,,2019,,,,
Elizabeth Arden,4.7,349,Floral,Sunflowers,Elizabeth Arden,"Available in 7 ml, 8 ml, 10 ml, 15 ml, 30 ml, 50 ml, 100 ml, 200 ml, 248 ml, 473 ml and 500 ml","Bergamot, Melon, Peach","Ozonic accord, Cyclamen, Jasmine, Osmanthus, Rose (Tea)","Cedarwood, Sandalwood, Oakmoss, Amber, Musk",Women,,1993,,,,
Issey Miyake,4.7,462,Floral,L'eau D'issey (issey Miyake),Issey Miyake,"Available in 1 ml, 3 ml, 6 ml, 7 ml, 8 ml, 10 ml, 15 ml, 24 ml, 25 ml, 30 ml, 41 ml, 50 ml, 75 ml, 100 ml, 125 ml, 150 ml, 200 ml and 311 ml","Cyclamen, Freesia, Lotus flower, Rose water","Carnation(EdP), Lily (white), Osmanthus(EdP), Peony","Woods (precious), Amber, Musk",Women,,1992,,,,
Burberry,4.5,396,Bergamot,Burberry London (new),Burberry,"Available in 2 ml, 4 ml, 8 ml, 30 ml, 50 ml, 75 ml, 100 ml and 150 ml","Bergamot, Lavender, Cinnamon leaves, Pepper (black)","Mimosa, Leather, Port wine","Guaïac wood, Oakmoss, Tobacco, Opopanax",Men,,2006,,,,
Versace,4.6,678,,Versace Pour Homme,Versace,"Available in 2 ml, 5 ml, 8 ml, 9 ml, 24 ml, 30 ml, 50 ml, 75 ml, 100 ml, 200 ml and 248 ml","Bergamot, Diamante citron, Orange (leaves), Neroli","Geranium, Hyacinth (blue), Cedarwood, Clary sage","Oud (Oudh, Agar or Aloeswood), Amber (Mineral), Musk, Tonka bean",Men,,2008,,,,
Burberry,4.6,476,Cedar,Burberry,Burberry,"Available in 2 ml, 5 ml, 8 ml, 30 ml, 50 ml, 100 ml, 150 ml, 195 ml and 200 ml","Bergamot, Marigold (Tagete), Apple (green), Blackcurrant buds (Cassis)","Jasmine, Cedarwood, Sandalwood","Oakmoss, Musk, Vanilla",Women,,1995,,,,
Coach,4.8,118,fresh,Coach Floral,Coach,"Available in 7 ml, 8 ml, 30 ml, 50 ml and 90 ml",,,,Women,,2018,,,,
Jimmy Choo,4.6,169,Citrus,Jimmy Choo Blossom,Jimmy Choo,"Available in 4 ml, 8 ml, 38 ml, 60 ml and 100 ml",,,,Women,,2015,,,,
Versace,4.7,662,Floral,Crystal Noir,Versace,"Available in 1 ml, 2 ml, 5 ml, 8 ml, 9 ml, 30 ml, 50 ml and 90 ml",Gardenia,"Gardenia, Tuberose",Amber,Women,,2004,,,,
Nina Ricci,4.7,751,fall,L'air Du Temps,Nina Ricci,"Available in 1 ml, 2 ml, 4 ml, 6 ml, 7 ml, 8 ml, 15 ml, 30 ml, 50 ml, 75 ml, 77 ml, 100 ml, 154 ml, 195 ml and 200 ml","Bergamot, Carnation, Rose (Rosa Centifolia)","Gardenia, Jasmine, Rose, Violet, Clove","Iris (Orris), Cedarwood, Sandalwood, Amber, Musk",Women,,1948,,,,
Paco Rabanne,4.6,654,Citrus,1 Million,Paco Rabanne,"Available in 1 ml, 5 ml, 8 ml, 50 ml, 75 ml, 100 ml, 150 ml and 200 ml","Grapefruit, Mint, Blood orange ","Rose, Cinnamon, Spice notes, Blond leather ","White woods, Amber, Patchouli",Men,,2008,,,,
Jessica McClintock,4.7,631,Citrus,Jessica Mc Clintock,Jessica McClintock,"Available in 1 ml, 4 ml, 7 ml, 8 ml, 10 ml, 15 ml, 50 ml, 60 ml, 75 ml, 83 ml, 90 ml, 100 ml, 150 ml, 200 ml, 207 ml and 251 ml","Bergamot, Ylang-ylang, Basil, Blackcurrant buds (Cassis)","Lily of the Valley (Muguet), Rose","Woody notes, Musk",Women,,1987,,,,
Hugo Boss,4.6,432,Citrus,Hugo,Hugo Boss,"Available in 2 ml, 5 ml, 8 ml, 38 ml, 50 ml, 75 ml, 100 ml, 106 ml, 125 ml, 150 ml, 151 ml and 200 ml","Bergamot, Grapefruit, Cedar leaves, Pine needles, Basil, Mint, Thyme, Apple (green)","Geranium, Jasmine, Lavender, Clove, Aromatic notes, Sage","Cedarwood, Patchouli, Sandalwood, Suede, Vetiver, Oakmoss, Musk-like notes, Fir balsam",Men,,1995,,,,
Paul Sebastian,4.6,1110,Citrus,Paul Sebastian,Paul Sebastian,"Available in 1 ml, 7 ml, 8 ml, 15 ml, 30 ml, 50 ml, 60 ml, 75 ml, 104 ml, 120 ml, 177 ml, 207 ml and 240 ml","Lavender, Nutmeg, Celery","Geranium, Rose, Ylang-ylang, Clove, Spice","Patchouli, Oakmoss, Amber, Musk",Men,,1979,,,,
Yves Saint Laurent,4.7,219,Patchouli,Black Opium,Yves Saint Laurent,"Available in 1 ml, 8 ml, 30 ml, 50 ml, 75 ml, 90 ml and 150 ml",,,,Women,,2014,,,,
Ralph Lauren,4.6,339,"Musk, Amber",Polo Blue,Ralph Lauren,"Available in 1 ml, 7 ml, 8 ml, 15 ml, 20 ml, 30 ml, 41 ml, 75 ml, 77 ml, 100 ml, 120 ml, 125 ml, 200 ml and 240 ml","Tangerine, Melon de Cavaillon, Watermelon, Cucumber","Geranium, Verbena, Basil, Clary sage","Amberwood, Patchouli, Washed suede note, Oakmoss, Musk (sheer)",Men,,2002,,,,
Fragluxe,4.4,325,Bergamot,Cuba Gold,Fragluxe,"Available in 5 ml, 8 ml, 34 ml, 100 ml and 200 ml",,,,Men,,,,,,
Giorgio Beverly Hills,4.6,634,Cedar,Giorgio,Giorgio Beverly Hills,"Available in 2 ml, 4 ml, 7 ml, 8 ml, 10 ml, 30 ml, 50 ml, 75 ml, 90 ml, 100 ml, 104 ml, 200 ml, 240 ml and 311 ml","Bergamot, Orange blossom, Green notes, Aldehydes, Fruity accord","Gardenia, Jasmine, Orchid, Tuberose, Ylang-ylang","Cedarwood, Sandalwood, Moss, Amber-like notes, Musk-like notes, Vanilla",Women,,1981,,,,
Dolce & Gabbana,4.6,557,Citrus,The One,Dolce & Gabbana,"Available in 1 ml, 2 ml, 4 ml, 5 ml, 7 ml, 11 ml, 30 ml, 50 ml, 75 ml, 100 ml, 150 ml and 200 ml","Bergamot, Mandarin, Lychee, Peach","Jasmine, Lily (Madonna), Lily of the Valley (Muguet)","Vetiver, Amber, Musk, Vanilla, Plum",Women,,2006,,,,
Versace,4.6,141,"Musk, Amber",Versace Woman,Versace,"Available in 1 ml, 5 ml, 10 ml, 30 ml, 50 ml, 75 ml, 100 ml and 195 ml","Bergamot, Frangipani, Rose (Eglantine-wild)","Padparadscha lotus, Hinoki wood, Prune, Raspberry","Cedarwood (Lebanon), Hinoki wood, Amber, Musk",Women,,2000,,,,
Sarah Jessica Parker,4.5,651,fall,Lovely,Sarah Jessica Parker,"Available in 1 ml, 4 ml, 6 ml, 8 ml, 10 ml, 30 ml, 50 ml, 80 ml, 100 ml, 120 ml, 150 ml, 200 ml, 225 ml, 240 ml and 500 ml","Bergamot, Mandarin, Lavender, Rosewood, Apple martini","Orchid, Paperwhites (indoor narcissus), Patchouli","Cedarwood, Sultry woods, Amber (white), Musk",Women,,2005,,,,
Jimmy Choo,4.4,239,fresh,Jimmy Choo Man,Jimmy Choo,"Available in 2 ml, 4 ml, 8 ml, 30 ml, 50 ml, 75 ml, 100 ml, 150 ml and 200 ml",,,,Men,,,,,,
Calvin Klein,4.6,179,Cedar,Eternity Aqua,Calvin Klein,"Available in 1 ml, 8 ml, 20 ml, 30 ml, 50 ml, 77 ml, 100 ml, 160 ml and 200 ml","Lotus (water), Cucumber (iced)","Lavender, Plum (Mirabelle)","Sandalwood, Musks",Men,,2010,,,,
Rihanna,4.6,252,,Reb'l Fleur,Rihanna,"Available in 6 ml, 8 ml, 10 ml, 15 ml, 30 ml, 50 ml, 90 ml, 100 ml, 200 ml and 240 ml","Berries (red), Peach, Plum","Coconut (water), Hibiscus, Tuberose, Violet","Patchouli, Amber, Musk, Vanilla",Women,,2010,,,,
Aramis,4.6,473,Citrus,Aramis,Aramis,"Available in 5 ml, 8 ml, 14 ml, 30 ml, 50 ml, 60 ml, 75 ml, 77 ml, 81 ml, 100 ml, 109 ml, 120 ml, 121 ml, 170 ml, 177 ml, 200 ml, 240 ml and 376 ml","Bergamot, Gardenia, Cumin, Leaves (green), Artemisia (Armoise), Clary sage, Thyme","Jasmine, Cardamom, Clove, Patchouli, Sandalwood, Vetiver, Oakmoss","Leather, Treemoss, Amber",Men,,1965,,,,
Estee Lauder,4.7,407,Floral,Pleasures,Estee Lauder,"Available in 4 ml, 8 ml, 10 ml, 15 ml, 30 ml, 50 ml, 71 ml, 100 ml, 104 ml, 150 ml and 248 ml","Lily (white), Green notes, Violet leaves","Jasmine, Karo karounde, Lilac, Lily (black), Peony (white), Rose, Rose (Baie)","Patchouli, Sandalwood",Women,,1995,,,,
Thierry Mugler,4.6,1267,Bergamot,Angel,Thierry Mugler,"Available in 1 ml, 3 ml, 5 ml, 7 ml, 8 ml, 9 ml, 10 ml, 15 ml, 24 ml, 26 ml, 27 ml, 30 ml, 33 ml, 41 ml, 50 ml, 75 ml, 77 ml, 80 ml, 100 ml, 104 ml, 200 ml, 204 ml, 207 ml, 210 ml, 450 ml and 500 ml","Bergamot, Mandarin, Helional, Hedione","Dewberry, Honey, Red berries","Patchouli, Sandalwood (Australian), Coumarin, Vanilla, Caramel, Chocolate",Women,,1992,,,,
Coach,4.8,45,,Coach Poppy,Coach,"Available in 8 ml, 30 ml, 50 ml, 100 ml and 150 ml",,,,Women,,,,,,
Elizabeth Taylor,4.8,389,Floral,Passion,Elizabeth Taylor,"Available in 4 ml, 7 ml, 8 ml, 15 ml, 25 ml, 30 ml, 44 ml, 50 ml, 75 ml, 77 ml, 100 ml, 120 ml, 150 ml, 155 ml and 200 ml","Gardenia, Jasmine, Lily of the Valley (Muguet), Rose, Ylang-ylang","Amber spice accord, Musk","Cedarwood, Patchouli, Sandalwood, Oakmoss, Incense",Women,,1987,,,,
Geoffrey Beene,4.4,659,Bergamot,Grey Flannel,Geoffrey Beene,"Available in 1 ml, 8 ml, 15 ml, 30 ml, 60 ml, 75 ml, 95 ml, 100 ml, 104 ml, 120 ml, 200 ml, 240 ml and 946 ml","Bergamot, Lemon, Orange, Neroli, Galbanum, Violet leaves, Sage","Iris (Orris), Jasmine, Mimosa, Rose, Violet, Ylang-ylang, Cinnamon, Clove","Sandalwood, Oakmoss, Musk",Men,,1975,,,,
Dolce & Gabbana,4.6,288,fresh,Light Blue Eau Intense,Dolce & Gabbana,"Available in 4 ml, 8 ml, 50 ml, 100 ml and 200 ml",,,,Men,,2017,,,,
Clinique,4.7,520,Earthy Greens,Aromatics Elixir,Clinique,"Available in 3 ml, 4 ml, 8 ml, 10 ml, 25 ml, 44 ml, 75 ml, 100 ml, 120 ml, 150 ml and 200 ml","Geranium, Orange blossom, Verbena, Chamomile, Clary sage","Jasmine, Rose, Tuberose, Ylang-ylang, Patchouli","Vetiver, Oakmoss, Amber, Civet",Women,,1971,,,,
Burberry,4.7,627,Citrus,Burberry Brit,Burberry,"Available in 2 ml, 5 ml, 8 ml, 10 ml, 15 ml, 30 ml, 50 ml, 100 ml, 150 ml, 200 ml and 248 ml","Lime, Almond (green), Pear (iced)","Peony (white), Almond (sugared)","Mahogany, Amber, Tonka bean, Vanilla",Women,,2003,,,,
Calvin Klein,4.7,421,Citrus,Escape,Calvin Klein,"Available in 4 ml, 8 ml, 10 ml, 15 ml, 30 ml, 50 ml, 60 ml, 75 ml, 100 ml, 104 ml, 133 ml, 163 ml and 200 ml","Mandarin, Hyacinth, Marigold (Tagete), Ylang-ylang, Chamomile, Coriander, Apple, Blackcurrant buds (Cassis), Lychee","Carnation, Jasmine, Lily of the Valley (Muguet), Osmanthus, Rose, Clove, Peach, Plum(EdP)","Sandalwood, Vetiver, Musk, Tonka bean",Women,,1991,,,,
Jennifer Lopez,4.5,334,Citrus,Glow,Jennifer Lopez,"Available in 1 ml, 7 ml, 8 ml, 30 ml, 50 ml, 75 ml, 100 ml, 150 ml, 195 ml and 200 ml","Grapefruit (pink), Neroli, Orange blossom","Iris (Orris), Jasmine (transparent), Rose","Sandalwood, Amber (soft), Musks, Vanilla",Women,,2002,,,,
Jean Paul Gaultier,4.6,803,Citrus,Jean Paul Gaultier,Jean Paul Gaultier,"Available in 1 ml, 3 ml, 7 ml, 8 ml, 30 ml, 41 ml, 50 ml, 75 ml, 77 ml, 100 ml, 125 ml, 130 ml, 150 ml and 200 ml","Bergamot, Cardamom, Artemisia (Armoise), Mint","Lavender, Orange blossom, Cinnamon, Cumin","Cedarwood, Sandalwood, Amber, Tonka bean, Vanilla",Men,,1995,,,,
Versace,4.8,350,fresh,Versace Yellow Diamond,Versace,"Available in 1 ml, 5 ml, 8 ml, 9 ml, 24 ml, 30 ml, 50 ml, 90 ml and 200 ml","Bergamot, Lemon, Neroli, Pear sorbet","Freesia, Mimosa, Orange blossom, Waterlily","Guaïac wood, Amber, Musk",Women,,2011,,,,
Karl Lagerfeld,4.6,824,Spicy,Lagerfeld,Karl Lagerfeld,"Available in 1 ml, 5 ml, 8 ml, 15 ml, 30 ml, 50 ml, 60 ml, 68 ml, 75 ml, 100 ml, 120 ml, 125 ml, 150 ml and 240 ml","Bergamot, Verbena, Basil, Coriander","Lavender, Rose, Clove, Patchouli","Oakmoss, Amber, Musk, Tobacco, Opopanax, Tonka bean",Men,,2002,,,,
